85a, 30.12.2014, canon 6000, 14a left
505, 13.01.2015, hp p2055dn, econom
703, 14.01.2015, canon 2900, datsishina
85a, 15.01.2015, hp p1102, lunina
703, 16.01.2015, canon 3000, kassa olga
85a, 19.01.2015, canon 6000, kassa lena
703, 19.01.2015, hp 1018, medstat
85a, 20.01.2015, canon 6000, anton
85a, 20.01.2015, canon 6000, sekr
85a, 21.01.2015, canon 6000, zp left
703, 23.01.2015, hp 1018, medstat
85a, 27.01.2015, canon 6000, bogdanova
436, 28.01.2015, hp m1120, kadr left
85a, 28.01.2015, canon 6000, 14a left
505, 04.02.2015, hp p2055dn, zp right
703, 05.02.2015, canon 2900, 14a right
85a, 10.02.2015, canon 6000, 14a left
505, 12.02.2015, hp p2055dn, econom
12a, 13.02.2015, hp 1018, apteka
49a, 17.02.2015, hp 1320, barocamera
12a, 17.02.2015, canon 2900, devyanin
703, 25.02.2015, canon 2900, datsishina
85a, 25.02.2015, canon 6000, sekr
85a, 27.02.2015, hp p1102, lunina
703, 27.02.2015, canon 2900, kassa olga
85a, 10.03.2015, canon 6000, kassa lena
85a, 17.03.2015, canon 6000, sekr
85a, 18.03.2015, hp p1102, lunina
05x, 19.03.2015, hp p2055dn, econom
85a, 20.03.2015, canon 6000, zp left
12a, 24.03.2015, ?, medarch vrach-epidemiolog
85a, 24.03.2015, canon 6000, 14a left
12a, 27.03.2015, canon 2900, datsishina
05a, 07.04.2015, hp p2055dn, zp right
85a, 08.04.2015, canon 6000, bogdanova
85a, 08.04.2015, canon 6000, bogdanova
85a, 14.04.2015, hp p1102, lunina
05x, 17.04.2015, hp p2055dn, econom
85a, 22.04.2015, canon 6000, tirskih
85a, 24.04.2015, hp p1102, kadr right
85a, 30.04.2015, canon 6000, sekr
36a, 05.05.2015, hp m1120, kadr left
12a, 13.05.2015, canon 2900, devyanin
85a, 15.05.2015, hp p1102, lunina
85a, 15.05.2015, canon 6000, anton
05x, 15.05.2015, hp p2055dn, econom
85a, 19.05.2015, canon 6000, kassa lena
85a, 20.05.2015, canon 6000, 14a left
36a, 29.05.2015, hp m1120, kadr left
85a, 01.06.2015, canon 6000, sekr
36a, 01.06.2015, hp m1120, kadr left
85a, 02.06.2015, canon 6000, sekr
85a, 04.06.2015, canon 6000, anton
85a, 05.06.2015, ?, nevrova
12a, 08.06.2015, canon 2900, datsishina
05a, 08.06.2015, hp p2055dn, econom
85a, 11.06.2015, canon 6000, 14a left
85a, 11.06.2015, hp p1102, lunina
85a, 15.06.2015, canon 6000, bogdanova
85a, 29.06.2015, canon 6000, econom
85a, 02.07.2015, canon 6000, sekr
85a, 06.07.2015, hp p1102, lunina
85a, 13.07.2015, canon 6000, kassa lena
12a, 15.07.2015, ?, veremeychik
85a, 23.07.2015, ?, pischeblok
05x, 23.07.2015, hp p2055dn, econom
12a, 27.07.2015, canon 2900, program
1610, 28.07.2015, ?, ddo
85a, 31.07.2015, canon 6000, 14a left
85a, 03.08.2015, hp p1102, lunina
85a, 04.09.2015, canon 6000, sekr
36a, 04.08.2015, hp m1120, kadr left
12a, 05.08.2015, canon 2900, program
05x, 11.08.2015, hp p2055dn, zp right
85a, 14.08.2015, canon 6000, kassa lena
703, 14.08.2015, canon 2900, 14a right
85a, 17.08.2015, canon 6000, kassa lena
85a, 19.08.2015, canon 6000, econom
12a, 19.08.2015, canon 2900, datsishina
85a, 25.08.2015, canon 6000, 14a left
85a, 07.09.2015, canon 6000, sekr
